n,b_z
1906,2.533698
1907,2.533059
1908,2.532419
1909,2.531778
1910,2.531138
1911,2.530497
1912,2.529856
1913,2.529215
1914,2.528574
1915,2.527933
1916,2.527292
1917,2.526652
1918,2.526011
1919,2.525370
1920,2.524729
1921,2.524089
1922,2.523449
1923,2.522809
1924,2.522171
1925,2.524900
1926,2.525161
1927,2.524965
1928,2.524597
1929,2.524145
1930,2.523645
1931,2.523114
1932,2.522562
1933,2.521995
1934,2.521417
1935,2.520831
1936,2.520239
1937,2.519641
1938,2.519039
1939,2.518434
1940,2.517826
1941,2.517216
1942,2.516604
1943,2.515990
1944,2.515375
1945,2.514759
1946,2.514142
1947,2.513524
1948,2.512905
1949,2.512286
1950,2.511666
1951,2.511046
1952,2.510426
1953,2.509805
1954,2.509184
1955,2.508563
1956,2.507942
1957,2.507321
1958,2.506700
1959,2.506079
1960,2.505457
1961,2.504836
1962,2.504215
1963,2.503594
1964,2.502973
1965,2.502353
1966,2.501732
1967,2.501112
1968,2.503824
1969,2.504096
1970,2.503914
1971,2.503563
1972,2.503129
1973,2.502646
1974,2.502133
1975,2.501600
1976,2.501052
1977,2.500493
1978,2.499926
1979,2.499352
1980,2.498773
1981,2.498190
1982,2.497604
1983,2.497015
1984,2.496424
1985,2.495831
1986,2.495236
1987,2.494640
1988,2.494042
1989,2.493444
1990,2.492845
1991,2.492245
1992,2.491645
1993,2.491044
1994,2.490443
1995,2.489841
1996,2.489239
1997,2.488637
1998,2.488035
1999,2.487432
2000,2.486830
2001,2.486227
2002,2.485625
2003,2.485022
2004,2.484419
2005,2.483817
2006,2.483215
2007,2.482612
2008,2.482010
2009,2.481408
2010,2.480806
2011,2.480208
2012,2.482901
2013,2.483181
2014,2.483013
2015,2.482678
2016,2.482260
2017,2.481794
2018,2.481299
2019,2.480783
2020,2.480253
2021,2.479712
2022,2.479162
2023,2.478607
2024,2.478046
2025,2.477481
2026,2.476913
2027,2.476343
2028,2.475769
2029,2.475194
2030,2.474618
2031,2.474040
2032,2.473461
2033,2.472881
2034,2.472300
2035,2.471718
2036,2.471136
2037,2.470553
2038,2.469970
2039,2.469386
2040,2.468803
2041,2.468219
2042,2.467634
2043,2.467050
2044,2.466466
2045,2.465881
2046,2.465297
2047,2.464712
2048,2.464128
2049,2.463543
2050,2.462959
2051,2.462374
2052,2.461790
2053,2.461206
2054,2.460622
2055,2.460043
2056,2.462718
2057,2.463006
2058,2.462851
2059,2.462531
2060,2.462129
2061,2.461680
2062,2.461201
2063,2.460702
2064,2.460189
2065,2.459665
2066,2.459133
2067,2.458594
2068,2.458051
2069,2.457503
2070,2.456952
2071,2.456399
2072,2.455843
2073,2.455285
2074,2.454726
2075,2.454166
2076,2.453604
2077,2.453041
2078,2.452477
2079,2.451913
2080,2.451348
2081,2.450783
2082,2.450217
2083,2.449650
2084,2.449084
2085,2.448517
2086,2.447950
2087,2.447383
2088,2.446816
2089,2.446248
2090,2.445681
2091,2.445114
2092,2.444546
2093,2.443979
2094,2.443411
2095,2.442844
2096,2.442277
2097,2.441710
2098,2.441143
2099,2.443804
2100,2.444100
2101,2.443958
2102,2.443652
2103,2.443265
2104,2.442831
2105,2.442368
2106,2.441885
2107,2.441388
2108,2.440880
2109,2.440364
2110,2.439841
2111,2.439314
2112,2.438783
2113,2.438248
2114,2.437711
2115,2.437172
2116,2.436630
2117,2.436087
2118,2.435543
2119,2.434997
2120,2.434450
2121,2.433903
2122,2.433355
2123,2.432806
2124,2.432257
2125,2.431707
2126,2.431157
2127,2.430606
2128,2.430055
2129,2.429505
2130,2.428953
2131,2.428402
2132,2.427851
2133,2.427299
2134,2.426748
2135,2.426197
2136,2.425645
2137,2.425094
2138,2.424542
2139,2.423991
2140,2.423440
2141,2.422889
2142,2.422340
2143,2.424982
2144,2.425286
2145,2.425155
2146,2.424862
2147,2.424489
2148,2.424070
2149,2.423622
2150,2.423154
2151,2.422671
2152,2.422179
2153,2.421678
2154,2.421171
2155,2.420660
2156,2.420144
2157,2.419625
2158,2.419103
2159,2.418579
2160,2.418053
2161,2.417526
2162,2.416997
2163,2.416467
2164,2.415936
2165,2.415404
2166,2.414871
2167,2.414338
2168,2.413804
2169,2.413270
2170,2.412736
2171,2.412201
2172,2.411665
2173,2.411130
2174,2.410594
2175,2.410059
2176,2.409523
2177,2.408987
2178,2.408451
2179,2.407915
2180,2.407379
2181,2.406843
2182,2.406307
2183,2.405771
2184,2.405235
2185,2.404699
2186,2.404167
2187,2.406792
2188,2.407102
2189,2.406982
2190,2.406702
2191,2.406342
2192,2.405937
2193,2.405503
2194,2.405049
2195,2.404582
2196,2.404104
2197,2.403618
2198,2.403126
2199,2.402629
2200,2.402128
2201,2.401624
2202,2.401117
2203,2.400608
2204,2.400097
2205,2.399584
2206,2.399070
2207,2.398555
2208,2.398039
2209,2.397522
2210,2.397004
2211,2.396486
2212,2.395967
2213,2.395447
2214,2.394928
2215,2.394408
2216,2.393887
2217,2.393366
2218,2.392846
2219,2.392325
2220,2.391804
2221,2.391282
2222,2.390761
2223,2.390240
2224,2.389718
2225,2.389197
2226,2.388676
2227,2.388155
2228,2.387633
2229,2.387112
2230,2.386594
2231,2.389203
2232,2.389519
2233,2.389410
2234,2.389142
2235,2.388795
2236,2.388403
2237,2.387983
2238,2.387543
2239,2.387089
2240,2.386625
2241,2.386153
2242,2.385675
2243,2.385192
2244,2.384705
2245,2.384215
2246,2.383723
2247,2.383228
2248,2.382731
2249,2.382232
2250,2.381733
2251,2.381232
2252,2.380730
2253,2.380227
2254,2.379723
2255,2.379219
2256,2.378714
2257,2.378209
2258,2.377703
2259,2.377197
2260,2.376691
2261,2.376184
2262,2.375678
2263,2.375171
2264,2.374664
2265,2.374157
2266,2.373649
2267,2.373142
2268,2.372635
2269,2.372127
2270,2.371620
2271,2.371113
2272,2.370606
2273,2.370098
2274,2.369594
2275,2.372186
2276,2.372508
2277,2.372409
2278,2.372152
2279,2.371818
2280,2.371439
2281,2.371031
2282,2.370604
2283,2.370164
2284,2.369713
2285,2.369255
2286,2.368790
2287,2.368321
2288,2.367847
2289,2.367371
2290,2.366891
2291,2.366410
2292,2.365927
2293,2.365442
2294,2.364955
2295,2.364468
2296,2.363979
2297,2.363490
2298,2.363000
2299,2.362509
2300,2.362018
2301,2.361526
2302,2.361034
2303,2.360541
2304,2.360049
2305,2.359556
2306,2.359062
2307,2.358569
2308,2.358075
2309,2.357581
2310,2.357088
2311,2.356594
2312,2.356100
2313,2.355606
2314,2.355112
2315,2.354618
2316,2.354124
2317,2.353630
2318,2.353138
2319,2.355714
2320,2.356042
2321,2.355952
2322,2.355706
2323,2.355384
2324,2.355017
2325,2.354621
2326,2.354207
2327,2.353779
2328,2.353341
2329,2.352895
2330,2.352443
2331,2.351987
2332,2.351526
2333,2.351063
2334,2.350596
2335,2.350128
2336,2.349657
2337,2.349185
2338,2.348712
2339,2.348237
2340,2.347762
2341,2.347285
2342,2.346808
2343,2.346330
2344,2.345852
2345,2.345373
2346,2.344893
2347,2.344414
2348,2.343934
2349,2.343453
2350,2.342973
2351,2.342492
2352,2.342011
2353,2.341531
2354,2.341049
2355,2.340568
2356,2.340087
2357,2.339606
2358,2.339125
2359,2.338644
2360,2.338162
2361,2.337681
2362,2.337201
2363,2.339762
2364,2.340094
2365,2.340014
2366,2.339778
2367,2.339467
2368,2.339111
2369,2.338728
2370,2.338325
2371,2.337909
2372,2.337483
2373,2.337050
2374,2.336610
2375,2.336166
2376,2.335717
2377,2.335266
2378,2.334812
2379,2.334356
2380,2.333897
2381,2.333438
2382,2.332977
2383,2.332514
2384,2.332051
2385,2.331587
2386,2.331122
2387,2.330656
2388,2.330190
2389,2.329724
2390,2.329257
2391,2.328789
2392,2.328321
2393,2.327853
2394,2.327385
2395,2.326917
2396,2.326448
2397,2.325979
2398,2.325511
2399,2.325042
2400,2.324573
2401,2.324104
2402,2.323635
2403,2.323165
2404,2.322696
2405,2.322227
2406,2.321759
2407,2.324304
2408,2.324641
2409,2.324569
2410,2.324344
2411,2.324042
2412,2.323698
2413,2.323326
2414,2.322934
2415,2.322530
2416,2.322116
2417,2.321694
2418,2.321266
2419,2.320833
2420,2.320396
2421,2.319957
2422,2.319514
2423,2.319070
2424,2.318623
2425,2.318175
2426,2.317726
2427,2.317276
2428,2.316824
2429,2.316372
2430,2.315919
2431,2.315465
2432,2.315010
2433,2.314556
2434,2.314100
2435,2.313645
2436,2.313188
2437,2.312732
2438,2.312276
2439,2.311819
2440,2.311362
2441,2.310905
2442,2.310448
2443,2.309990
2444,2.309533
2445,2.309076
2446,2.308618
2447,2.308161
2448,2.307703
2449,2.307246
2450,2.306789
2451,2.306335
2452,2.308863
2453,2.309204
2454,2.309139
2455,2.308923
2456,2.308632
2457,2.308298
2458,2.307936
2459,2.307556
2460,2.307163
2461,2.306759
2462,2.306348
2463,2.305932
2464,2.305510
2465,2.305085
2466,2.304657
2467,2.304226
2468,2.303793
2469,2.303358
2470,2.302921
2471,2.302483
2472,2.302044
2473,2.301604
2474,2.301163
2475,2.300721
2476,2.300279
2477,2.299836
2478,2.299392
2479,2.298948
2480,2.298504
2481,2.298059
2482,2.297614
2483,2.297169
2484,2.296724
2485,2.296278
2486,2.295833
2487,2.295387
2488,2.294941
2489,2.294495
2490,2.294049
2491,2.293603
2492,2.293157
2493,2.292710
2494,2.292264
2495,2.291819
2496,2.294333
2497,2.294679
2498,2.294622
2499,2.294415
2500,2.294134
2501,2.293810
2502,2.293458
2503,2.293089
2504,2.292706
2505,2.292313
2506,2.291913
2507,2.291507
2508,2.291097
2509,2.290682
2510,2.290265
2511,2.289844
2512,2.289422
2513,2.288998
2514,2.288572
2515,2.288145
2516,2.287717
2517,2.287288
2518,2.286857
2519,2.286426
2520,2.285995
2521,2.285563
2522,2.285130
2523,2.284697
2524,2.284263
2525,2.283829
2526,2.283395
2527,2.282961
2528,2.282526
2529,2.282091
2530,2.281656
2531,2.281221
2532,2.280786
2533,2.280351
2534,2.279916
2535,2.279480
2536,2.279045
2537,2.278609
2538,2.278174
2539,2.277738
2540,2.277306
2541,2.279803
2542,2.280153
2543,2.280103
2544,2.279904
2545,2.279632
2546,2.279318
2547,2.278976
2548,2.278617
2549,2.278244
2550,2.277861
2551,2.277471
2552,2.277076
2553,2.276675
2554,2.276271
2555,2.275864
2556,2.275454
2557,2.275043
2558,2.274629
2559,2.274213
2560,2.273797
2561,2.273379
2562,2.272960
2563,2.272540
2564,2.272120
2565,2.271699
2566,2.271277
2567,2.270855
2568,2.270432
2569,2.270009
2570,2.269586
2571,2.269162
2572,2.268738
2573,2.268314
2574,2.267890
2575,2.267465
2576,2.267040
2577,2.266616
2578,2.266191
2579,2.265766
2580,2.265341
2581,2.264916
2582,2.264491
2583,2.264065
2584,2.263640
2585,2.266124
2586,2.266477
2587,2.266435
2588,2.266245
2589,2.265982
2590,2.265677
2591,2.265345
2592,2.264995
2593,2.264632
2594,2.264259
2595,2.263879
2596,2.263493
2597,2.263103
2598,2.262709
2599,2.262311
2600,2.261912
2601,2.261510
2602,2.261106
2603,2.260700
2604,2.260294
2605,2.259886
2606,2.259477
2607,2.259067
2608,2.258657
2609,2.258245
2610,2.257834
2611,2.257421
2612,2.257009
2613,2.256595
2614,2.256182
2615,2.255768
2616,2.255354
2617,2.254940
2618,2.254525
2619,2.254111
2620,2.253696
2621,2.253281
2622,2.252866
2623,2.252451
2624,2.252035
2625,2.251620
2626,2.251205
2627,2.250790
2628,2.250374
2629,2.249961
2630,2.252429
2631,2.252785
2632,2.252749
2633,2.252567
2634,2.252312
2635,2.252015
2636,2.251692
2637,2.251351
2638,2.250998
2639,2.250634
2640,2.250264
2641,2.249887
2642,2.249506
2643,2.249122
2644,2.248734
2645,2.248344
2646,2.247951
2647,2.247557
2648,2.247161
2649,2.246764
2650,2.246366
2651,2.245967
2652,2.245567
2653,2.245166
2654,2.244764
2655,2.244362
2656,2.243959
2657,2.243556
2658,2.243153
2659,2.242749
2660,2.242344
2661,2.241940
2662,2.241535
2663,2.241130
2664,2.240725
2665,2.240320
2666,2.239915
2667,2.239509
2668,2.239104
2669,2.238698
2670,2.238292
2671,2.237886
2672,2.237481
2673,2.237075
2674,2.236672
2675,2.239125
2676,2.239484
2677,2.239454
2678,2.239279
2679,2.239033
2680,2.238745
2681,2.238430
2682,2.238098
2683,2.237753
2684,2.237399
2685,2.237038
2686,2.236670
2687,2.236299
2688,2.235923
2689,2.235545
2690,2.235164
2691,2.234781
2692,2.234396
2693,2.234009
2694,2.233621
2695,2.233232
2696,2.232842
2697,2.232451
2698,2.232060
2699,2.231667
2700,2.231274
2701,2.230881
2702,2.230487
2703,2.230093
2704,2.229698
2705,2.229303
2706,2.228908
2707,2.228512
2708,2.228117
2709,2.227721
2710,2.227325
2711,2.226929
2712,2.226532
2713,2.226136
2714,2.225740
2715,2.225343
2716,2.224947
2717,2.224550
2718,2.224153
2719,2.223760
2720,2.226198
2721,2.226560
2722,2.226536
2723,2.226368
2724,2.226130
2725,2.225850
2726,2.225544
2727,2.225220
2728,2.224884
2729,2.224539
2730,2.224186
2731,2.223827
2732,2.223464
2733,2.223098
2734,2.222728
2735,2.222356
2736,2.221982
2737,2.221606
2738,2.221228
2739,2.220849
2740,2.220469
2741,2.220088
2742,2.219706
2743,2.219323
2744,2.218940
2745,2.218556
2746,2.218171
2747,2.217786
2748,2.217401
2749,2.217015
2750,2.216629
2751,2.216243
2752,2.215856
2753,2.215469
2754,2.215082
2755,2.214695
2756,2.214308
2757,2.213920
2758,2.213533
2759,2.213145
2760,2.212758
2761,2.212370
2762,2.211982
2763,2.211594
2764,2.211210
2765,2.213633
2766,2.213998
2767,2.213980
2768,2.213819
2769,2.213588
2770,2.213316
2771,2.213018
2772,2.212703
2773,2.212375
2774,2.212037
2775,2.211693
2776,2.211343
2777,2.210989
2778,2.210630
2779,2.210269
2780,2.209906
2781,2.209540
2782,2.209172
2783,2.208803
2784,2.208433
2785,2.208061
2786,2.207689
2787,2.207316
2788,2.206941
2789,2.206566
2790,2.206191
2791,2.205815
2792,2.205439
2793,2.205062
2794,2.204685
2795,2.204307
2796,2.203929
2797,2.203551
2798,2.203173
2799,2.202794
2800,2.202416
2801,2.202037
2802,2.201658
2803,2.201279
2804,2.200900
2805,2.200521
2806,2.200142
2807,2.199762
2808,2.199383
2809,2.199007
2810,2.201416
2811,2.201783
2812,2.201771
2813,2.201617
2814,2.201392
2815,2.201128
2816,2.200838
2817,2.200530
2818,2.200210
2819,2.199881
2820,2.199545
2821,2.199203
2822,2.198857
2823,2.198507
2824,2.198154
2825,2.197798
2826,2.197441
2827,2.197082
2828,2.196721
2829,2.196359
2830,2.195995
2831,2.195631
2832,2.195266
2833,2.194900
2834,2.194533
2835,2.194166
2836,2.193798
2837,2.193430
2838,2.193061
2839,2.192692
2840,2.192323
2841,2.191953
2842,2.191584
2843,2.191213
2844,2.190843
2845,2.190473
2846,2.190102
2847,2.189731
2848,2.189361
2849,2.188990
2850,2.188619
2851,2.188248
2852,2.187877
2853,2.187505
2854,2.187137
2855,2.189532
2856,2.189902
2857,2.189895
2858,2.189747
2859,2.189530
2860,2.189272
2861,2.188990
2862,2.188690
2863,2.188378
2864,2.188056
2865,2.187727
2866,2.187393
2867,2.187055
2868,2.186713
2869,2.186368
2870,2.186020
2871,2.185671
2872,2.185319
2873,2.184966
2874,2.184612
2875,2.184257
2876,2.183900
2877,2.183543
2878,2.183185
2879,2.182826
2880,2.182467
2881,2.182107
2882,2.181747
2883,2.181386
2884,2.181025
2885,2.180663
2886,2.180302
2887,2.179940
2888,2.179578
2889,2.179215
2890,2.178853
2891,2.178490
2892,2.178127
2893,2.177764
2894,2.177401
2895,2.177038
2896,2.176675
2897,2.176311
2898,2.175948
2899,2.175587
2900,2.177969
2901,2.178340
2902,2.178338
2903,2.178197
2904,2.177986
2905,2.177736
2906,2.177460
2907,2.177168
2908,2.176863
2909,2.176549
2910,2.176228
2911,2.175901
2912,2.175570
2913,2.175236
2914,2.174898
2915,2.174558
2916,2.174216
2917,2.173872
2918,2.173527
2919,2.173180
2920,2.172832
2921,2.172484
2922,2.172134
2923,2.171784
2924,2.171433
2925,2.171081
2926,2.170729
2927,2.170376
2928,2.170023
2929,2.169669
2930,2.169316
2931,2.168961
2932,2.168607
2933,2.168253
2934,2.167898
2935,2.167543
2936,2.167188
2937,2.166832
2938,2.166477
2939,2.166122
2940,2.165766
2941,2.165410
2942,2.165055
2943,2.164699
2944,2.164344
2945,2.166713
2946,2.167087
2947,2.167089
2948,2.166954
2949,2.166750
2950,2.166506
2951,2.166237
2952,2.165952
2953,2.165654
2954,2.165347
2955,2.165033
2956,2.164714
2957,2.164390
2958,2.164063
2959,2.163732
2960,2.163400
2961,2.163065
2962,2.162729
2963,2.162391
2964,2.162051
2965,2.161711
2966,2.161369
2967,2.161027
2968,2.160684
2969,2.160340
2970,2.159996
2971,2.159651
2972,2.159306
2973,2.158960
2974,2.158614
2975,2.158267
2976,2.157921
2977,2.157573
2978,2.157226
2979,2.156879
2980,2.156531
2981,2.156183
2982,2.155835
2983,2.155487
2984,2.155139
2985,2.154791
2986,2.154442
2987,2.154094
2988,2.153745
2989,2.153397
2990,2.153053
2991,2.155407
2992,2.155781
2993,2.155788
2994,2.155658
2995,2.155460
2996,2.155223
2997,2.154961
2998,2.154682
2999,2.154391
3000,2.154090
3001,2.153783
3002,2.153471
3003,2.153154
3004,2.152834
3005,2.152511
3006,2.152185
3007,2.151858
3008,2.151528
3009,2.151197
3010,2.150865
3011,2.150532
3012,2.150198
3013,2.149862
3014,2.149527
3015,2.149190
3016,2.148853
3017,2.148515
3018,2.148177
3019,2.147838
3020,2.147499
3021,2.147160
3022,2.146820
3023,2.146480
3024,2.146140
3025,2.145800
3026,2.145459
3027,2.145119
3028,2.144778
3029,2.144437
3030,2.144096
3031,2.143755
3032,2.143414
3033,2.143072
3034,2.142731
3035,2.142391
3036,2.144733
3037,2.145110
3038,2.145122
3039,2.144997
3040,2.144805
3041,2.144574
3042,2.144319
3043,2.144046
3044,2.143762
3045,2.143468
3046,2.143168
3047,2.142863
3048,2.142553
3049,2.142239
3050,2.141923
3051,2.141604
3052,2.141284
3053,2.140961
3054,2.140637
3055,2.140312
3056,2.139985
3057,2.139658
3058,2.139329
3059,2.139000
3060,2.138671
3061,2.138340
3062,2.138009
3063,2.137678
3064,2.137346
3065,2.137014
3066,2.136682
3067,2.136349
3068,2.136016
3069,2.135683
3070,2.135349
3071,2.135015
3072,2.134682
3073,2.134348
3074,2.134014
3075,2.133679
3076,2.133345
3077,2.133010
3078,2.132676
3079,2.132341
3080,2.132007
3081,2.131676
3082,2.134004
3083,2.134382
3084,2.134398
3085,2.134278
3086,2.134091
3087,2.133866
3088,2.133617
3089,2.133351
3090,2.133073
3091,2.132786
3092,2.132492
3093,2.132193
3094,2.131889
3095,2.131582
3096,2.131273
3097,2.130961
3098,2.130646
3099,2.130330
3100,2.130013
3101,2.129694
3102,2.129375
3103,2.129054
3104,2.128732
3105,2.128410
3106,2.128087
3107,2.127763
3108,2.127439
3109,2.127114
3110,2.126789
3111,2.126464
3112,2.126138
3113,2.125812
3114,2.125485
3115,2.125159
3116,2.124832
3117,2.124505
3118,2.124178
3119,2.123850
3120,2.123523
3121,2.123195
3122,2.122867
3123,2.122540
3124,2.122212
3125,2.121884
3126,2.121557
3127,2.123873
3128,2.124253
3129,2.124273
3130,2.124159
3131,2.123978
3132,2.123759
3133,2.123515
3134,2.123255
3135,2.122983
3136,2.122703
3137,2.122415
3138,2.122122
3139,2.121825
3140,2.121525
3141,2.121222
3142,2.120916
3143,2.120608
3144,2.120298
3145,2.119987
3146,2.119675
3147,2.119362
3148,2.119047
3149,2.118732
3150,2.118416
3151,2.118099
3152,2.117782
3153,2.117464
3154,2.117146
3155,2.116827
3156,2.116508
3157,2.116189
3158,2.115869
3159,2.115549
3160,2.115229
3161,2.114908
3162,2.114588
3163,2.114267
3164,2.113946
3165,2.113625
3166,2.113303
3167,2.112982
3168,2.112661
3169,2.112339
3170,2.112017
3171,2.111696
3172,2.111377
3173,2.113680
3174,2.114060
3175,2.114084
3176,2.113974
3177,2.113799
3178,2.113585
3179,2.113347
3180,2.113093
3181,2.112827
3182,2.112552
3183,2.112271
3184,2.111984
3185,2.111693
3186,2.111399
3187,2.111101
3188,2.110802
3189,2.110500
3190,2.110197
3191,2.109892
3192,2.109586
3193,2.109279
3194,2.108970
3195,2.108661
3196,2.108351
3197,2.108041
3198,2.107730
3199,2.107418
3200,2.107106
3201,2.106794
3202,2.106481
3203,2.106168
3204,2.105854
3205,2.105540
3206,2.105226
3207,2.104912
3208,2.104597
3209,2.104283
3210,2.103968
3211,2.103653
3212,2.103338
3213,2.103023
3214,2.102708
3215,2.102392
3216,2.102077
3217,2.101761
3218,2.101449
3219,2.103739
3220,2.104121
3221,2.104148
3222,2.104043
3223,2.103873
3224,2.103664
3225,2.103432
3226,2.103183
3227,2.102923
3228,2.102654
3229,2.102379
3230,2.102098
3231,2.101813
3232,2.101524
3233,2.101233
3234,2.100939
3235,2.100644
3236,2.100346
3237,2.100047
3238,2.099747
3239,2.099446
3240,2.099144
3241,2.098841
3242,2.098537
3243,2.098233
3244,2.097928
3245,2.097622
3246,2.097316
3247,2.097009
3248,2.096703
3249,2.096395
3250,2.096088
3251,2.095780
3252,2.095472
3253,2.095164
3254,2.094855
3255,2.094547
3256,2.094238
3257,2.093929
3258,2.093620
3259,2.093311
3260,2.093001
3261,2.092692
3262,2.092383
3263,2.092073
3264,2.094352
3265,2.094736
3266,2.094767
3267,2.094667
3268,2.094501
3269,2.094298
3270,2.094071
3271,2.093828
3272,2.093574
3273,2.093311
3274,2.093041
3275,2.092766
3276,2.092486
3277,2.092204
3278,2.091918
3279,2.091630
3280,2.091340
3281,2.091049
3282,2.090756
3283,2.090461
3284,2.090166
3285,2.089869
3286,2.089572
3287,2.089274
3288,2.088975
3289,2.088676
3290,2.088376
3291,2.088076
3292,2.087775
3293,2.087474
3294,2.087173
3295,2.086871
3296,2.086569
3297,2.086267
3298,2.085964
3299,2.085662
3300,2.085359
3301,2.085056
3302,2.084752
3303,2.084449
3304,2.084146
3305,2.083842
3306,2.083538
3307,2.083235
3308,2.082931
3309,2.082629
3310,2.084895
3311,2.085279
3312,2.085313
3313,2.085217
3314,2.085056
3315,2.084858
3316,2.084636
3317,2.084399
3318,2.084149
3319,2.083891
3320,2.083627
3321,2.083357
3322,2.083083
3323,2.082806
3324,2.082526
3325,2.082244
3326,2.081959
3327,2.081673
3328,2.081386
3329,2.081097
3330,2.080807
3331,2.080516
3332,2.080225
3333,2.079932
3334,2.079639
3335,2.079345
3336,2.079051
3337,2.078757
3338,2.078461
3339,2.078166
3340,2.077870
3341,2.077574
3342,2.077277
3343,2.076981
3344,2.076684
3345,2.076387
3346,2.076089
3347,2.075792
3348,2.075494
3349,2.075197
3350,2.074899
3351,2.074601
3352,2.074303
3353,2.074005
3354,2.073706
3355,2.073410
3356,2.075664
3357,2.076049
3358,2.076087
3359,2.075994
3360,2.075838
3361,2.075645
3362,2.075428
3363,2.075196
3364,2.074951
3365,2.074699
3366,2.074439
3367,2.074175
3368,2.073907
3369,2.073635
3370,2.073360
3371,2.073083
3372,2.072804
3373,2.072524
3374,2.072241
3375,2.071958
3376,2.071674
3377,2.071388
3378,2.071102
3379,2.070815
3380,2.070527
3381,2.070239
3382,2.069950
3383,2.069661
3384,2.069371
3385,2.069081
3386,2.068791
3387,2.068500
3388,2.068209
3389,2.067918
3390,2.067627
3391,2.067335
3392,2.067043
3393,2.066751
3394,2.066459
3395,2.066166
3396,2.065874
3397,2.065582
3398,2.065289
3399,2.064996
3400,2.064703
3401,2.064412
3402,2.066654
3403,2.067040
3404,2.067081
3405,2.066993
3406,2.066841
3407,2.066652
3408,2.066441
3409,2.066213
3410,2.065974
3411,2.065726
3412,2.065472
3413,2.065213
3414,2.064949
3415,2.064683
3416,2.064413
3417,2.064142
3418,2.063868
3419,2.063593
3420,2.063316
3421,2.063038
3422,2.062758
3423,2.062478
3424,2.062197
3425,2.061916
3426,2.061633
3427,2.061350
3428,2.061067
3429,2.060783
3430,2.060498
3431,2.060214
3432,2.059929
3433,2.059643
3434,2.059357
3435,2.059071
3436,2.058785
3437,2.058499
3438,2.058212
3439,2.057925
3440,2.057638
3441,2.057351
3442,2.057064
3443,2.056777
3444,2.056490
3445,2.056202
3446,2.055914
3447,2.055628
3448,2.057859
3449,2.058245
3450,2.058289
3451,2.058205
3452,2.058057
3453,2.057873
3454,2.057666
3455,2.057443
3456,2.057209
3457,2.056966
3458,2.056717
3459,2.056463
3460,2.056205
3461,2.055943
3462,2.055679
3463,2.055412
3464,2.055143
3465,2.054873
3466,2.054601
3467,2.054328
3468,2.054054
3469,2.053779
3470,2.053503
3471,2.053227
3472,2.052950
3473,2.052672
3474,2.052393
3475,2.052114
3476,2.051835
3477,2.051555
3478,2.051275
3479,2.050995
3480,2.050714
3481,2.050434
3482,2.050152
3483,2.049871
3484,2.049590
3485,2.049308
3486,2.049026
3487,2.048744
3488,2.048462
3489,2.048180
3490,2.047898
3491,2.047615
3492,2.047333
3493,2.047051
3494,2.049270
3495,2.049657
3496,2.049704
3497,2.049624
3498,2.049480
3499,2.049301
3500,2.049098
